elo_diff,avg_elo,material_diff_last,material_diff_avg,material_diff_var,ply_count,time_base,time_increment,outcome
244.0,1667.0,12,8.8,1.3599999999999999,47,900.0,0.0,1
19.0,1643.5,-4,-0.3,7.8100000000000005,46,900.0,0.0,-1
-3.0,1643.5,-12,-6.3,11.610000000000001,106,900.0,0.0,-1
339.0,2200.5,0,0.2,0.96,25,2700.0,45.0,1
19.0,1643.5,-6,-5.5,2.25,142,900.0,0.0,-1
-53.0,1865.5,6,2.7,5.01,61,900.0,5.0,1
-37.0,1643.5,1,1.0,0.0,123,900.0,0.0,1
-20.0,1543.0,8,7.0,0.2,113,900.0,0.0,1
23.0,1643.5,9,8.3,0.21000000000000002,171,900.0,0.0,1
-254.0,1709.0,-7,-7.0,0.0,54,900.0,5.0,-1
-7.0,1643.5,-6,-5.9,0.09,126,900.0,0.0,-1
-9.0,1643.5,11,10.1,0.09,109,900.0,0.0,1
-7.0,1643.5,5,4.7,0.21000000000000002,131,900.0,0.0,1
4.0,1543.0,-5,-5.0,0.0,87,900.0,0.0,1
25.0,1643.5,-5,-4.7,0.61,114,900.0,0.0,-1
-588.0,2027.0,-13,-6.7,9.809999999999999,50,900.0,0.0,-1
41.0,1620.5,10,5.7,22.410000000000004,98,900.0,0.0,1
-9.0,1643.5,-11,-5.3,14.01,116,900.0,0.0,-1
27.0,1643.5,2,2.0,0.0,86,900.0,0.0,-1
413.0,1769.5,4,3.4,2.24,79,900.0,10.0,1
-11.0,1643.5,-8,-7.3,0.21000000000000002,134,900.0,0.0,-1
-5.0,1643.5,11,7.3,8.61,133,900.0,0.0,1
23.0,1643.5,-7,-7.0,0.0,140,900.0,0.0,-1
240.0,1904.0,10,9.5,0.25,73,900.0,0.0,1
-25.0,1643.5,1,1.0,0.0,170,900.0,0.0,0
-324.0,2166.0,-3,-3.0,0.0,54,900.0,5.0,-1
-22.0,1543.0,16,12.2,14.559999999999999,111,900.0,0.0,1
9.0,1643.5,4,5.4,1.8399999999999999,59,900.0,0.0,1
146.0,2399.0,4,3.0,7.2,128,900.0,0.0,1
-27.0,1643.5,9,5.0,16.0,151,900.0,0.0,1
797.0,1601.5,3,2.4,0.8400000000000001,33,900.0,0.0,1
11.0,1643.5,8,-0.2,7.76,65,900.0,0.0,1
-229.0,1671.5,-11,-11.4,0.24,96,900.0,0.0,-1
5.0,1643.5,-10,-6.6,1.44,84,900.0,0.0,-1
-1402.0,2233.0,-9,-0.6,8.64,32,900.0,5.0,-1
320.0,2166.0,6,4.5,2.25,63,900.0,5.0,1
